Model,Split,Precision,Recall,F1,AUC
VGG16,Train,0.7587281296199132,0.7623646473514779,0.7517406616026956,0.902493043812754
VGG16,Validation,0.7485535333669708,0.7529325513196481,0.7428858997731416,0.9037119388810557
VGG16,Test,0.7352121967463021,0.7478165938864629,0.7327014854822773,0.895956418503292
ResNet50,Train,0.7888419523290792,0.7888498683055312,0.7780735899001099,0.9142003128927549
ResNet50,Validation,0.7849472042662162,0.7844574780058651,0.7704398868311076,0.926768396663348
ResNet50,Test,0.8033312292114257,0.8034934497816594,0.7909873652733991,0.9171034308119128
ResNet101,Train,0.8283633413920584,0.8295288264559555,0.8250482373371006,0.9436952809378871
ResNet101,Validation,0.8009663527476375,0.8049853372434017,0.7989752132263243,0.9311551606955351
ResNet101,Test,0.8026496681483145,0.8078602620087336,0.8019268483689563,0.9350461972211793
EfficientNetB0,Train,0.7876614110802925,0.787825577992391,0.7781532639960603,0.9181662274424479
EfficientNetB0,Validation,0.7706795028061975,0.7749266862170088,0.7646422461194485,0.9112764472284993
EfficientNetB0,Test,0.755421216383295,0.759825327510917,0.741386533138191,0.9050065484976766
DenseNet201,Train,0.7974404006898772,0.7816798361135499,0.762298443549826,0.9271108777331929
DenseNet201,Validation,0.7863532292416862,0.7712609970674487,0.7483645168544106,0.9236563288841778
DenseNet201,Test,0.7724966661170701,0.7663755458515283,0.7407624348159852,0.9175433141695215
